isin,ticker,exchange,name,currency,ter
IE00B3F81R35,IEAC,SIX Swiss Exchange,iShares Core EUR Corporate Bond UCITS ETF (Dist),CHF,0.09
IE00B3F81R35,EUN5,XETRA,iShares Core EUR Corporate Bond UCITS ETF (Dist),EUR,0.09
IE00B1YZSC51,IMEU,London Stock Exchange,iShares Core MSCI Europe UCITS ETF EUR (Dist),GBX,0.12
IE00B1YZSC51,IQQY,gettex,iShares Core MSCI Europe UCITS ETF EUR (Dist),EUR,0.12
IE00B1YZSC51,IQQY,Stuttgart Stock Exchange,iShares Core MSCI Europe UCITS ETF EUR (Dist),EUR,0.12
IE00B1YZSC51,IMEU,Borsa Italiana,iShares Core MSCI Europe UCITS ETF EUR (Dist),EUR,0.12
IE00B1YZSC51,IMEU,Euronext Amsterdam,iShares Core MSCI Europe UCITS ETF EUR (Dist),EUR,0.12
IE00B1YZSC51,ISEU,London Stock Exchange,iShares Core MSCI Europe UCITS ETF EUR (Dist),USD,0.12
IE00B1YZSC51,IMEU,SIX Swiss Exchange,iShares Core MSCI Europe UCITS ETF EUR (Dist),CHF,0.12
IE00B1YZSC51,IQQY,XETRA,iShares Core MSCI Europe UCITS ETF EUR (Dist),EUR,0.12
IE00BMTX1Y45,I500,Borsa Italiana,iShares S&P 500 Swap UCITS ETF USD (Acc),EUR,0.05
IE00BMTX1Y45,I500,gettex,iShares S&P 500 Swap UCITS ETF USD (Acc),EUR,0.05
IE00BMTX1Y45,I500,Euronext Amsterdam,iShares S&P 500 Swap UCITS ETF USD (Acc),USD,0.05
IE00BMTX1Y45,I500,London Stock Exchange,iShares S&P 500 Swap UCITS ETF USD (Acc),GBP,0.05
IE00BMTX1Y45,I500,SIX Swiss Exchange,iShares S&P 500 Swap UCITS ETF USD (Acc),USD,0.05
IE00BMTX1Y45,I500,XETRA,iShares S&P 500 Swap UCITS ETF USD (Acc),EUR,0.05
FR0013416716,GOLD,Euronext Amsterdam,Amundi Physical Gold ETC (C),USD,0.12
FR0013416716,GOLD,Borsa Italiana,Amundi Physical Gold ETC (C),EUR,0.12
FR0013416716,GLDA,London Stock Exchange,Amundi Physical Gold ETC (C),GBX,0.12
FR0013416716,GLDD,London Stock Exchange,Amundi Physical Gold ETC (C),USD,0.12
